timestamp_utc,region_code,region_friendly,instance_type,os,tenancy,price_usd
2026-06-12T12:20:40+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-06-12T12:20:40+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-06-12T12:20:40+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-06-13T11:15:04+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-06-13T11:15:04+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-06-13T11:15:04+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-06-13T11:15:04+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-06-14T11:31:03+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-06-14T11:31:03+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-06-14T11:31:03+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-06-14T11:31:03+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-06-15T15:16:18+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-06-15T15:16:18+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-06-15T15:16:18+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-06-15T15:16:18+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-06-16T13:28:33+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-06-16T13:28:33+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-06-16T13:28:33+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-06-16T13:28:33+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-06-17T12:52:12+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
